subject,predicate,object,source
http://purl.obolibrary.org/obo/HP_0000075,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000077,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000081,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0004100,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000083,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000085,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000086,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000089,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000091,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000092,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000095,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000096,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0000074,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000104,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000105,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000107,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000110,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000113,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000122,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000123,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000124,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001231,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000799,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0000803,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001874,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001875,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001876,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001881,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001882,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001966,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002319,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0001974,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0002048,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0002843,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0002846,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0004712,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0004742,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0004100,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0004852,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005365,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005372,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005400,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000775,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005403,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005404,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005415,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000084,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0005563,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001285,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0008161,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0008318,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000738,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0008696,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0008717,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0008718,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0010680,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0010685,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0010958,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0002113,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0010975,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0010976,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/CL_0000236,https://purl.humanatlas.io/vocab/hp
http://purl.obolibrary.org/obo/HP_0011035,https://purl.humanatlas.io/vocab/hp#phenotype_occurs_in,http://purl.obolibrary.org/obo/UBERON_0001225,https://purl.humanatlas.io/vocab/hp
