subject,predicate,object,source,gene_expr
https://identifiers.org/hgnc/6473,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,2.009148
https://identifiers.org/hgnc/9395,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.764662
https://identifiers.org/hgnc/18233,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.973676
https://identifiers.org/hgnc/21030,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.74717
https://identifiers.org/hgnc/13872,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.622804
https://identifiers.org/hgnc/25259,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.678571
https://identifiers.org/hgnc/6079,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.33047
https://identifiers.org/hgnc/30279,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.715654
https://identifiers.org/hgnc/9666,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.287498
https://identifiers.org/hgnc/19341,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.409477
https://identifiers.org/hgnc/1057,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.18896
https://identifiers.org/hgnc/29114,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.580098
https://identifiers.org/hgnc/1585,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.530037
https://identifiers.org/hgnc/7315,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.082972
https://identifiers.org/hgnc/2988,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.058229
https://identifiers.org/hgnc/13176,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.053315
https://identifiers.org/hgnc/2550,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.264822
https://identifiers.org/hgnc/25361,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.807449
https://identifiers.org/hgnc/16286,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.203417
https://identifiers.org/hgnc/8619,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_0000236,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,0.972029
https://identifiers.org/hgnc/14467,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,2.556519
https://identifiers.org/hgnc/18266,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.6326
https://identifiers.org/hgnc/17438,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.843516
https://identifiers.org/hgnc/866,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.732657
https://identifiers.org/hgnc/18264,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.446644
https://identifiers.org/hgnc/19030,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.749532
https://identifiers.org/hgnc/946,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,2.577086
https://identifiers.org/hgnc/17925,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.996693
https://identifiers.org/hgnc/8776,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.442767
https://identifiers.org/hgnc/3041,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.470249
https://identifiers.org/hgnc/21035,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.522544
https://identifiers.org/hgnc/9066,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.65012
https://identifiers.org/hgnc/1371,http://purl.org/ccf/ccf_characterizes,http://purl.obolibrary.org/obo/CL_1001432,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration,1.919595
