iri,label,type,source
http://identifiers.org/hgnc/6473,AFF3,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/9395,PRKCB,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/18233,BANK1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/21030,ARHGAP15,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/13872,RIPOR2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/25259,ANKRD44,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/6079,INPP5D,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/30279,RALGPS2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/9666,PTPRC,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/19341,CAMK1D,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/1057,BLK,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/29114,FCHSD2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/1585,CCND3,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/7315,MS4A1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/2988,DOCK2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/13176,IKZF1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/2550,CELF2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/25361,ARHGAP24,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/16286,ELMO1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/8619,PAX5,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/14467,SLC26A7,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/18266,ATP6V0D2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/17438,CLNK,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/866,ATP6V0A4,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/18264,ATP6V1C2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/19030,ADGRF5,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/946,MAGI1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/17925,TFCP2L1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/8776,PDE1C,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/3041,RCAN2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/21035,ARHGAP18,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/9066,PLCG2,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/1371,CA12,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/27220,TMEM213,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/11168,SNTB1,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/7728,NEDD4L,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
http://identifiers.org/hgnc/11035,SLC4A9,http://purl.bioontology.org/ontology/HGNC/gene,https://github.com/hubmapconsortium/hra-hubmap-kpmp-integration
