subject,predicate,object,source
http://identifiers.org/hgnc/10620,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/8008,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/11073,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/11255,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/8951,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/5986,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/15625,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/11073,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/11821,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/5476,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/18643,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/600,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/7176,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/6149,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/18562,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/11757,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/914,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/10496,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/5962,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/6018,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/6025,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/6526,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/17866,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/2475,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/10618,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
http://identifiers.org/hgnc/3555,https://purl.humanatlas.io/vocab/hp#associated_with,http://purl.obolibrary.org/obo/HP_0001919,https://doi.org/10.1101/2024.04.01.587658
